Num_Acc,place,catu,grav,sexe,trajet,secu,locp,actp,etatp,an_nais,num_veh
200600006631,2,2,3,1,0,11.0,0,0,0,1984.0,B02
200600020216,1,1,3,1,0,13.0,0,0,0,1978.0,A01
200600080739,1,1,1,2,0,13.0,0,0,0,1970.0,A01
200600023539,1,1,1,2,5,11.0,0,0,0,1966.0,A01
200600028874,1,1,4,2,1,11.0,0,0,0,1977.0,B01
200600000715,1,1,4,1,1,21.0,0,0,0,1960.0,A01
200600010605,3,2,1,1,0,11.0,0,0,0,1981.0,A01
200600068874,1,1,1,2,4,11.0,0,0,0,1947.0,B01
200600054018,1,1,1,2,4,21.0,0,0,0,1949.0,A01
200600016660,1,1,4,1,5,21.0,0,0,0,1990.0,B02
200600072222,4,2,3,2,0,12.0,0,0,0,1995.0,A01
200600011513,1,1,4,2,5,13.0,0,0,0,1971.0,A01
200600069041,1,1,1,1,1,11.0,0,0,0,1980.0,A01
200600065577,3,2,1,2,0,13.0,0,0,0,1988.0,B01
200600074459,2,2,3,1,0,11.0,0,0,0,1983.0,A01
200600032507,1,1,3,1,0,22.0,0,0,0,1991.0,A01
200600051610,1,1,4,2,5,11.0,0,0,0,1957.0,C03
200600064005,2,2,1,1,0,13.0,0,0,0,2006.0,A01
200600065415,1,1,4,1,5,21.0,0,0,0,1982.0,B01
200600073335,1,1,1,2,1,11.0,0,0,0,1967.0,A01
200600076932,1,1,1,2,4,92.0,0,0,0,1963.0,A01
200600001756,1,1,1,1,9,11.0,0,0,0,1984.0,A01
200600021816,1,1,1,2,5,11.0,0,0,0,1962.0,A01
200600043476,5,2,3,1,0,11.0,0,0,0,,A01
200600080487,1,1,4,2,0,13.0,0,0,0,1966.0,A01
200600006203,1,1,2,1,1,11.0,0,0,0,1949.0,B02
200600007455,1,1,4,1,5,21.0,0,0,0,1966.0,A01
200600023680,1,1,1,1,4,11.0,0,0,0,1966.0,A01
200600012220,1,1,3,1,0,93.0,0,0,0,1989.0,B01
200600065347,2,2,4,2,0,11.0,0,0,0,1939.0,A01
200600033687,0,3,4,2,3,0.0,1,3,2,1956.0,A01
200600037132,2,2,4,1,0,11.0,0,0,0,1985.0,B01
200600014842,0,2,4,2,0,21.0,0,0,0,1988.0,A01
200600048269,2,2,3,2,0,11.0,0,0,0,1963.0,A01
200600058791,1,1,1,2,5,11.0,0,0,0,1947.0,A01
200600009078,1,1,3,1,5,11.0,0,0,0,1938.0,B01
200600072462,1,1,1,1,5,11.0,0,0,0,1986.0,A01
200600011542,1,1,3,1,0,93.0,0,0,0,1968.0,C01
200600040832,1,1,1,1,5,11.0,0,0,0,1952.0,A01
200600023010,3,2,1,2,0,11.0,0,0,0,2002.0,C01
200600061928,1,1,3,1,0,21.0,0,0,0,1988.0,A01
200600054044,1,1,4,1,9,11.0,0,0,0,1976.0,B01
200600068251,1,1,3,1,0,23.0,0,0,0,1995.0,B01
200600029642,1,1,4,1,5,11.0,0,0,0,1985.0,B01
200600069069,1,1,4,1,5,21.0,0,0,0,1977.0,A01
200600044760,1,1,3,1,5,21.0,0,0,0,1961.0,B02
200600013795,0,3,4,1,5,0.0,4,3,1,1954.0,A01
200600062244,1,1,4,1,4,11.0,0,0,0,1983.0,E01
200600068474,2,2,3,2,0,21.0,0,0,0,1986.0,B01
200600034391,2,2,1,1,0,11.0,0,0,0,1974.0,C01
200600003122,2,2,4,1,0,13.0,0,0,0,1946.0,B01
200600010892,1,1,1,1,4,11.0,0,0,0,1965.0,B01
200600057808,1,1,4,1,1,21.0,0,0,0,1960.0,A01
200600065923,0,3,3,1,5,0.0,5,2,2,1977.0,A01
200600003649,5,2,4,1,0,21.0,0,0,0,1989.0,B01
200600044099,1,1,3,2,5,11.0,0,0,0,1950.0,B02
200600006859,1,1,1,2,5,11.0,0,0,0,1970.0,A01
200600070390,0,3,4,1,3,0.0,3,3,2,1928.0,A01
200600043965,2,2,1,1,0,11.0,0,0,0,1942.0,B02
200600083665,1,1,4,2,2,22.0,0,0,0,1989.0,A01
200600001082,2,2,4,1,0,11.0,0,0,0,1990.0,B01
200600004143,2,2,3,1,0,11.0,0,0,0,1978.0,B01
200600055461,1,1,4,1,9,93.0,0,0,0,1973.0,A01
200600061215,1,1,1,1,4,11.0,0,0,0,1962.0,B01
200600003652,0,3,4,2,0,0.0,0,3,1,1963.0,A01
200600027085,1,1,1,1,5,21.0,0,0,0,1982.0,A01
200600019211,1,1,4,2,5,21.0,0,0,0,1989.0,B01
